Date,Open,High,Low,Close,Volume
2010/2/1,62.830002,63.970001,62.830002,63.889999,8062700
2010/2/2,63.869999,64.050003,63.349998,64.029999,7271400
2010/2/3,64.629997,65.75,64.610001,65.209999,13695300
2010/2/4,65.190002,65.269997,64.019997,64.059998,10868400
2010/2/5,64.07,64.339996,62.630001,63.369999,14007600
2010/2/8,63.48,63.799999,62.919998,62.919998,6975100
2010/2/9,63.150002,63.849998,62.77,63.57,10131500
2010/2/10,63.540001,63.830002,62.970001,63.25,6161300
2010/2/11,63.25,63.84,62.540001,63.790001,7478900
2010/2/12,63.209999,63.889999,63.189999,63.59,6749800
2010/2/16,63.5,64.18,63.279999,64.010002,7090200
2010/2/17,64.209999,64.349998,63.77,64.260002,5424600
2010/2/18,64.110001,64.620003,64,64.480003,4975800
2010/2/19,64.459999,64.889999,64.300003,64.739998,5622600
2010/2/22,64.93,64.93,64.629997,64.769997,4274900
2010/2/23,64.779999,65.050003,64.699997,64.870003,7485700
2010/2/24,64.959999,65.550003,64.769997,65.260002,7579700
2010/2/25,64.290001,64.639999,63.759998,64.379997,8500000
2010/2/26,64.459999,64.730003,63.849998,63.849998,8288400
2010/3/1,63.98,64.139999,63.669998,63.98,6320300
2010/3/2,64.419998,64.419998,63.91,64.07,6271700
2010/3/3,64.25,64.339996,63.450001,63.630001,6396100
2010/3/4,63.790001,63.790001,63.299999,63.43,5958200
2010/3/5,63.720001,63.759998,63.25,63.669998,8154600
2010/3/8,64.410004,65.540001,64.230003,65.120003,11825600
2010/3/9,64.989998,65.5,64.839996,65.099998,7126900
2010/3/10,65.019997,65.239998,64.730003,64.940002,6900200
2010/3/11,64.800003,65.209999,64.669998,65.209999,4350400
2010/3/12,65.459999,65.980003,65.360001,65.529999,6601700
2010/3/15,65.699997,66.190002,65.690002,65.93,5715100
2010/3/16,66.220001,66.239998,65.800003,66.07,5705600
2010/3/17,66.230003,66.440002,65.870003,66.379997,4818800
